article,noun,plural,english
der,Zeitplan,Zeitpläne,Schedule
die,Tür,Türen,Door
der,Ruck,Rucke,Jerk
der,Hunger,kein Pl.,Hunger
das,Klopfen,kein Pl.,Knock
der,Fleck,Flecken,Spot/Stain
der,Tisch,Tische,Table
das,Braun,kein Pl.,Brown
die,Depression,Depressionen,Depression
die,Bewertung,Bewertungen,Review
das,Gebrüll,kein Pl.,Roar
das,Individuum,Individuen,Individual
die,Siedlung,Siedlungen,Settlement
der,Rover,Rover,Rover
das,Kupfer,kein Pl.,Copper
die,Gebühr,Gebühren,Charge/Fee
der,Wodka,kein Pl.,Vodka
die,Übersetzung,Übersetzungen,Translation
der,Haken,Haken,Hook
die,Eitelkeit,Eitelkeiten,Vanity
der,Schlepper,Schlepper,Tug
der,Drang,Dränge,Urge
der,Schädel,Schädel,Skull
das,Aroma,Aromen,Aroma
die,Karte,Karten,Card/Map
die,Genossenschaft,Genossenschaften,Co-operative
der,Nachmittag,Nachmittage,Afternoon
der,Twist,Twists,Twist
die,Pore,Poren,Pore
der,Bahnhof,Bahnhöfe,Station
der,Frieden,kein Pl.,Peace
die,Klappe,Klappen,Flap
der,Zauberer,Zauberer,Wizard
das,Gewicht,Gewichte,Weight
die,Freude,kein Pl.,Delight/Joy
der,Mais,kein Pl.,Corn
der,Marsch,Märsche,March
die,Rose,Rosen,Rose
der,Manager,Manager,Manager
der,Standort,Standorte,Location
der,Treibende,Treibenden,Drift
die,Zugehörigkeit,Zugehörigkeiten,Affiliation
das,Album,Alben,Album
der,Astronaut,Astronauten,Astronaut
das,Horn,Hörner,Horn
der,Pilger,Pilger,Pilgrim
der,Job,Jobs,Job
die,Bevölkerung,kein Pl.,Population
die,Kohle,kein Pl.,Coal
die,Schlittschuhe,Schlittschuhe,Ice skates
der,Spiegel,Spiegel,Mirror
die,Brustwarze,Brustwarzen,Nipple
das,Verlangen,kein Pl.,Desire
der,Triumph,Triumphe,Triumph
die,Phrase,Phrasen,Phrase
der,Riese,Riesen,Giant
der,Mist,kein Pl.,Crap
die,Schnur,Schnüre,String
das,Bedürfnis,Bedürfnisse,Need
die,Tochter,Töchter,Daughter
der,Wert,Werte,Value/Worth
die,Weide,Weiden,Pasture/Willow
das,Getränk,Getränke,Drink
die,Woche,Wochen,Week
der,Reichtum,kein Pl.,Wealth
der,Balkon,Balkone,Balcony
die,Anderen,Anderen,Others
das,Pferd,Pferde,Horse
der,Widerstand,Widerstände,Resistance
das,Blatt,Blätter,Leaf/Sheet
der,Valentine,Valentines,Valentine
der,Snack,Snacks,Snack
der,Abfluss,Abflüsse,Drain
das,Einhorn,Einhörner,Unicorn
das,Darlehen,Darlehen,Loan
das,Studium,Studien,Study
die,Fähre,Fähren,Ferry
die,Masse,Massen,Bulk/Mass
die,Düne,Dünen,Dune
der,Liebling,Lieblinge,Darling/Dear
der,Fokus,Foki,Focus
die,Pille,Pillen,Pill
das,Durcheinander,kein Pl.,Mess
der,Tritt,Tritte,Kick
die,Entfernung,Entfernungen,Distance
der,Schuh,Schuhe,Shoe
das,Gericht,Gerichte,Court/Dish
der,Wolf,Wölfe,Wolf
das,Grinsen,Grinsen,Grin
der,Führer,Führer,Guide/Leader
das,Teleskop,Teleskope,Telescope
die,Reflexion,Reflexionen,Reflection
der,Aufprall,Aufprälle,Impact
der,Pilz,Pilze,Mushroom
der,Dorn,Dornen,Thorn
der,Verkäufer,Verkäufer,Salesman
das,Manschette,Manschetten,Cuff
der,Alkohol,kein Pl.,Alcohol
die,Anordnung,Anordnungen,Arrangement
die,Freiheit,kein Pl.,Freedom/Liberty
das,Gewebe,Gewebe,Tissue
die,Illustration,Illustrationen,Illustration
die,Ankündigung,Ankündigungen,Announcement
das,Segel,Segel,Sail
das,Laib,Laibe,Loaf
der,Ventilator,Ventilatoren,Fan
die,Bäckerei,Bäckereien,Bakery
die,Belohnung,Belohnungen,Reward
der,Kojote,Kojoten,Coyote
die,Beere,Beeren,Berry
der,Eintrag,Einträge,Entry
das,Augenlid,Augenlider,Eyelid
die,Buchhandlung,Buchhandlungen,Bookstore
der,Strand,Strände,Beach/Strand
die,Flut,Fluten,Tide
das,Abendessen,Abendessen,Dinner/Supper
der,Smaragd,Smaragde,Emerald
das,Volumen,Volumina,Volume
der,Wein,Weine,Wine
das,Schwarz,kein Pl.,Black
der,Kontinent,Kontinente,Continent
der,Geburtstag,Geburtstage,Birthday
das,Element,Elemente,Element
das,Paket,Pakete,Package/Packet
die,Einheit,Einheiten,Unit
das,Sofa,Sofas,Sofa
die,Kindheit,kein Pl.,Childhood
der,Löwe,Löwen,Lion
der,Westen,kein Pl.,West
die,Analyse,Analysen,Analysis
das,Rindfleisch,kein Pl.,Beef
das,Handgelenk,Handgelenke,Wrist
der,Grieche,Griechen,Greek
die,Dimension,Dimensionen,Dimension
der,Sack,Säcke,Sack
der,Kran,Kräne,Crane
die,Zone,Zonen,Zone
die,Dusche,Duschen,Shower
die,Chancen,kein Pl.,Odds
die,Region,Regionen,Region
der,Kongress,Kongresse,Congress
das,Drama,Dramen,Drama
das,Ritual,Rituale,Ritual
das,Thema,Themen,Theme/Topic
die,Fee,Feen,Fairy
das,Pony,Ponys,Pony
der,Spieler,Spieler,Player
die,Meerjungfrau,Meerjungfrauen,Mermaid
der,Student,Studenten,Student
der,Kegel,Kegel,Cone
die,Waffe,Waffen,Gun/Weapon
der,Monitor,Monitore,Monitor
der,Lügner,Lügner,Liar
der,Strauß,Sträuße,Bunch
das,Braten,Braten,Fry
das,Wissen,kein Pl.,Knowledge
der,Kauf,Käufe,Purchase
der,Stoff,Stoffe,Cloth/Fabric
der,Maler,Maler,Painter
die,Dämmerung,kein Pl.,Dusk/Twilight
die,Hohlheit,Hohlheiten,Hollow
das,Huhn,Hühner,Chicken/Hen
die,Wohltätigkeit,kein Pl.,Charity
die,Behandlung,Behandlungen,Treatment
der,Bürgersteig,Bürgersteige,Sidewalk
das,Brett,Bretter,Board
der,Topf,Töpfe,Pot
das,Detail,Details,Detail
der,Ekel,kein Pl.,Disgust
die,Einladung,Einladungen,Invitation
der,Obstgarten,Obstgärten,Orchard
der,Schutt,kein Pl.,Debris/Rubble
die,Vereinbarung,Vereinbarungen,Agreement
das,Armband,Armbänder,Bracelet
die,Kraft,Kräfte,Force
der,Champagner,kein Pl.,Champagne
die,Liste,Listen,List
die,Uhr,Uhren,Clock/Watch
das,Holz,kein Pl.,Wood
das,Mädchen,Mädchen,Girl
der,Kaiser,Kaiser,Emperor
die,Zeitung,Zeitungen,Newspaper
der,Tanz,Tänze,Dance
der,Stein,Steine,Stone
das,Neon,kein Pl.,Neon
der,Stil,Stile,Style
das,Urteil,Urteile,Judgment
der,Bogen,Bögen,Arc/Arch
der,Mechaniker,Mechaniker,Mechanic
der,Kamm,Kämme,Comb
das,Tentakel,Tentakel,Tentacle
das,Festival,Festivals,Festival
die,Braut,Bräute,Bride
das,Blenden,kein Pl.,Glare
der,Knall,Knalle,Bang/Pop
der,Weizen,kein Pl.,Wheat
die,Süßigkeiten,Süßigkeiten,Candy
die,Höflichkeit,kein Pl.,Courtesy
der,Schnitt,Schnitte,Cut
das,Array,Arrays,Array
die,Auszeichnung,Auszeichnungen,Award
der,Gegner,Gegner,Opponent
der,Pfadfinder,Pfadfinder,Scout
das,Aluminium,kein Pl.,Aluminium
die,Einlage,Einlagen,Slip
der,Geruch,Gerüche,Odour/Smell
die,Information,Informationen,Information
das,Doppel,Dopple,Double
die,Kuh,Kühe,Cow
der,Trauf,Traube,Eave
der,Guss,Güsse,Cast
der,Name,Namen,Name
das,Vertrauen,Vertrauen,Confidence/Trust
die,Absicht,Absichten,Intent/Intention
der,Beruf,Berufe,Profession
die,Herberge,Herbergen,Inn
die,Zuneigung,kein Pl.,Affection
der,Notfall,Notfälle,Emergency
das,Design,Designs,Design
das,Netz,Netze,Net/Web
das,Gewehr,Gewehre,Rifle
der,Bürger,Bürger,Citizen
die,Niederlage,Niederlagen,Defeat
das,Zahnfleisch,kein Pl.,Gum
das,Baldachin,Baldachine,Canopy
die,Pose,Posen,Pose
der,Boden,Böden,Bottom/Floor
das,Restaurant,Restaurants,Restaurant
die,Sidebar,Sidebars,Sidebar
das,Bit,Bits,Bit
die,Maus,Mäuse,Mouse
die,Lampe,Lampen,Lamp
der,Meister,Meister,Master
der,Kinderbett,Kinderbetten,Cot
der,Assistent,Assistenten,Assistant
der,Wald,Wälder,Forest
der,Streik,Streiks,Strike
die,Bombe,Bomben,Bomb
der,Rhythmus,Rhythmen,Rhythm
der,Bericht,Berichte,Report
der,Vorsitzende,Vorsitzenden,Chairman
das,Interview,Interviews,Interview
der,Käfer,Käfer,Beetle/Bug
die,Schule,Schulen,School
der,Stolz,kein Pl.,Pride
die,Republik,Republiken,Republic
der,Blumenstrauß,Blumensträuße,Bouquet
der,Bob,Bobs,Bob
die,Jahreszeit,Jahreszeiten,Season
das,Netzwerk,Netzwerke,Network
der,Schatz,Schätze,Beau/Sweetheart
die,Medizin,Medizinen,Medicine
der,Käse,Käse,Cheese
die,Entscheidung,Entscheidungen,Decision
die,Schwelle,Schwellen,Threshold
der,Ingenieur,Ingenieure,Engineer
die,Nachfrage,Nachfragen,Demand
der,Kontrast,Kontraste,Contrast
das,Geheimnis,Geheimnisse,Mystery/Secret
der,Brief,Briefe,Letter
das,Fundament,Fundamente,Fund
die,Prozession,Prozessionen,Procession
die,Silhouette,Silhouetten,Silhouette
der,Spitzname,Spitznamen,Nickname
das,Gemüse,Gemüse,Vegetable
die,Gnade,Gnaden,Grace/Mercy
die,Warnung,Warnungen,Warning
das,Möbel,Möbel,Furniture
der,Mond,Monde,Moon
der,Ofen,Öfen,Oven
der,Vorabend,Vorabende,Eve
die,Krähe,Krähen,Crow
der,Schinken,kein Pl.,Ham
der,Ruf,Rufe,Reputation
die,Röhre,Röhren,Tube
der,Schaden,kein Pl.,Damage/Harm
der,Mut,kein Pl.,Courage
das,Genie,Genies,Genius
das,Wochenende,Wochenenden,Weekend
das,Modell,Modelle,Model
das,Zimmer,Zimmer,Room
die,Anzeige,Anzeigen,Advertisement/Indication
das,Blütenblatt,Blütenblätter,Petal
der,Vulkan,Vulkane,Volcano
das,Signal,Signale,Signal
der,Designer,Designer,Designer
der,Schlag,Schläge,Beat/Blow
der,Efeu,kein Pl.,Ivy
die,Wirkung,Wirkungen,Effect
die,Wissenschaft,kein Pl.,Science
die,Wut,Wut,Fury/Rage
der,Clown,Clowns,Clown
der,Bürgermeister,Bürgermeister,Mayor
die,Furt,Furten,Ford
die,Kommode,Kommoden,Dresser
der,Block,Blöcke,Block
der,Akzent,Akzente,Accent
der,Zweig,Zweige,Twig
der,Pinguin,Pinguine,Penguin
die,Liebe,kein Pl.,Love
der,Künstler,Künstler,Artist
die,Scham,kein Pl.,Shame
das,Refugium,Refugien,Refuge
die,Haut,Häute,Skin
die,Auswirkung,Auswirkungen,Implication
das,Überleben,kein Pl.,Survival
der,Ärger,kein Pl.,Anger/Annoyance
der,Schauspieler,Schauspieler,Actor
die,Schlange,Schlangen,Snake
die,Sandale,Sandalen,Sandal
die,Liebste,Liebsten,Sweetheart
der,Pirat,Piraten,Pirate
der,Held,Helden,Hero
das,Rennen,Rennen,Race
die,Maschinen,kein Pl.,Machinery
der,Feigling,Feiglinge,Coward
der,Prediger,Prediger,Preacher
der,Blitz,Blitze,Flash/Lightning
die,Ehe,Ehen,Marriage
der,Musiker,Musiker,Musician
das,Kompliment,Komplimente,Compliment
das,Seminar,Seminare,Workshop
der,Spion,Spione,Spy
der,Tau,kein Pl.,Dew
das,Bier,Biere,Beer
der,Reisende,Reisenden,Traveler
der,Lehrer,Lehrer,Instructor/Teacher
der,Bäcker,Bäcker,Baker
die,Hitze,kein Pl.,Heat
die,Fassade,Fassaden,Facade
die,Kosten,kein Pl.,Cost/Expense
die,Schwerkraft,kein Pl.,Gravity
der,Zugriff,kein Pl.,Access
der,Geschmack,Geschmäcker,Taste
der,Kanal,Kanäle,Canal/Channel
die,Treue,kein Pl.,Loyalty
die,Haftung,Haftungen,Liability
die,Milch,kein Pl.,Milk
der,Erwachsene,Erwachsenen,Adult
der,Kamin,Kamine,Fireplace/Hearth
der,Toast,Toasts,Toast
die,Universität,Universitäten,University
der,Verkauf,Verkäufe,Sale
das,Reisen,Reisen,Travel
das,Reh,Rehe,Deer
der,See,Seen,Lake
der,Zweck,Zwecke,Purpose
die,Schaffung,Schaffungen,Creation
das,Versagen,Versagen,Failure
der,Wahnsinn,kein Pl.,Madness
das,Schrotflinte,Schrotflinten,Shotgun
das,Gehalt,Gehälter,Salary
die,Zelle,Zellen,Cell/Cubicle
der,Roboter,Roboter,Robot
die,Farm,Farmen,Farm
der,Überlebende,Überlebenden,Survivor
die,Konzentration,kein Pl.,Concentration
der,Dschungel,Dschungel,Jungle
die,Kleidung,kein Pl.,Clothes/Clothing
der,Mantel,Mäntel,Coat/Overcoat
die,Frucht,Früchte,Fruit
der,Honig,kein Pl.,Honey
die,Technik,Techniken,Tech/Technique
die,Sitzung,Sitzungen,Session
die,Philosophie,Philosophien,Philosophy
das,Alter,kein Pl.,Age
der,Felsen,Felsen,Rock
das,Schaudern,kein Pl.,Chill
der,Punktestand,Punktestände,Score
das,Problem,Probleme,Problem
das,Porzellan,kein Pl.,China
die,Koje,Kojen,Bunk
der,Friedhof,Friedhöfe,Cemetery
der,Stuhl,Stühle,Chair
die,Sohle,Sohlen,Sole
die,Pfote,Pfoten,Paw
die,Blüte,Blüten,Bloom/Blossom
der,Kurs,Kurse,Course
das,Plastik,kein Pl.,Plastic
das,Eis,Eis,Ice
die,Gemeinschaft,Gemeinschaften,Community
das,Kommando,Kommandos,Squad
der,Wurf,Würfe,Litter
die,Investition,Investitionen,Investment
der,Kunde,Kunden,Client/Customer
die,Stange,Stangen,Rod
der,Wasserhahn,Wasserhähne,Tap
die,Verwaltung,Verwaltungen,Administration
das,Schwert,Schwerter,Sword
das,Abzeichen,Abzeichen,Badge
die,Majestät,kein Pl.,Majesty
der,Fahrer,Fahrer,Driver
der,Bluff,Bluffs,Bluff
der,Bolzen,Bolzen,Bolt
die,Weite,Weiten,Expanse
die,Flucht,Fluchten,Escape
das,Wrack,Wracks,Wreck
die,Sektion,Sektionen,Section
der,Löffel,Löffel,Spoon
die,Muschel,Muscheln,Shell
das,Tablett,Tabletts,Tray
die,Truppe,Truppen,Troop
der,Gegenstand,Gegenstände,Item
der,Globus,Globen,Globe
das,Skelett,Skelette,Skeleton
die,Inspiration,Inspirationen,Inspiration
der,Reifen,Reifen,Tyre
der,Unterricht,kein Pl.,Teaching
das,Gedicht,Gedichte,Poem
die,Ironie,kein Pl.,Irony
das,Kätzchen,Kätzchen,Kitten
der,Schuppen,Schuppen,Shed
der,Gang,Gänge,Aisle
der,Eintopf,Eintöpfe,Stew
der,Golf,kein Pl.,Golf/Gulf
das,Gewitter,kein Pl.,Thunderstorm
der,Homer,Homers,Homer
die,Romanze,Romanzen,Romance
der,Punkt,Punkte,Dot/Point
der,Flügel,Flügel,Wing
der,Kleiderschrank,Kleiderschränke,Wardrobe
der,Wille,kein Pl.,Will
das,Gewand,Gewänder,Gown
der,Krebs,kein Pl.,Cancer
der,Verwandte,Verwandten,Relative
das,Panel,Panels,Panel
der,Verband,Verbände,Bandage
das,Ei,Eier,Egg
der,Tempel,Tempel,Temple
der,Papagei,Papageien,Parrot
die,Versammlung,Versammlungen,Assembly
die,Palme,Palmen,Palm
der,Treibstoff,kein Pl.,Fuel
der,Vortrag,Vorträge,Lecture
die,Notwendigkeit,Notwendigkeiten,Necessity
der,Händler,Händler,Dealer/Merchant
das,Fieber,kein Pl.,Fever
der,Esel,Esel,Donkey
das,Gen,Gene,Gene
die,Nachahmung,Nachahmungen,Imitation
die,Geliebte,Geliebten,Mistress
das,Handwerk,Handwerke,Craft
die,Zunge,Zungen,Tongue
das,Mischen,Mischungen,Shuffling
der,Wasserkocher,Wasserkocher,Kettle
der,Schriftsteller,Schriftsteller,Writer
das,Bernstein,kein Pl.,Amber
das,Tier,Tiere,Animal/Beast
der,Bergrücken,Bergrücken,Ridge
der,Handschuh,Handschuhe,Glove
die,Taschenlampe,Taschenlampen,Flashlight
der,Beton,kein Pl.,Concrete
der,Protest,Proteste,Protest
der,Scheinwerfer,Scheinwerfer,Headlight
der,Cartoon,Cartoons,Cartoon
die,Auffahrt,Auffahrten,Driveway
der,Fischer,Fischer,Fisherman
die,Aufführung,Aufführungen,Performance
die,Gewohnheit,Gewohnheiten,Habit
die,Vorbereitung,Vorbereitungen,Preparation
die,Agentur,Agenturen,Agency
das,Zeichen,Zeichen,Mark
die,Schuld,kein Pl.,Debt/Guilt
die,Cafeteria,Cafeterien,Cafeteria
der,Adler,Adler,Eagle
das,Dach,Dächer,Roof/Rooftop
der,Stoß,Stöße,Bump
die,Stiftung,Stiftungen,Foundation
das,Diagramm,Diagramme,Chart
die,Kammer,Kammern,Chamber
der,Zerstörer,Zerstörer,Buster
das,Theater,Theater,Theater
die,Eintrittskarte,Eintrittskarten,Ticket
die,Version,Versionen,Version
die,Enkelin,Enkelinnen,Granddaughter
das,Stück,Stücke,Chunk/Piece
die,Weste,Westen,Vest
die,Überraschung,Überraschungen,Surprise
der,Schal,Schals,Scarf
die,Tat,Taten,Deed
der,Morgen,Morgen,Morning
die,Mücke,Mücken,Mosquito
der,Sonnenschein,kein Pl.,Sunshine
die,Leiter,Leitern,Ladder
der,Rollstuhl,Rollstühle,Wheelchair
der,Anruf,Anrufe,Call
der,Schornstein,Schornsteine,Chimney
das,Profil,Profile,Profile
der,Flug,Flüge,Flight
das,Kaninchen,Kaninchen,Rabbit
die,Ruhe,kein Pl.,Calm/Rest
der,Albtraum,Albträume,Nightmare
das,Fort,Forts,Fort
das,Schwein,Schweine,Pig
die,Dringlichkeit,Dringlichkeiten,Urgency
das,Geschenk,Geschenke,Gift
der,Gastgeber,Gastgeber,Host
das,Schlafen,kein Pl.,Sleeping
das,Brummen,kein Pl.,Hum
das,Verständnis,kein Pl.,Understanding
die,Beschwerde,Beschwerden,Complaint
der,Wagen,Wagen,Cart
das,Exemplar,Exemplare,Copy/Specimen
die,Sammlung,Sammlungen,Collection
der,Leibwächter,Leibwächter,Bodyguard
das,Ende,Enden,End/Ending
die,Kamera,Kameras,Camera
der,Satellit,Satelliten,Satellite
die,Kolonie,Kolonien,Colony
die,Schüssel,Schüsseln,Bowl
das,Kommen,kein Pl.,Coming
der,Bordstein,Bordsteine,Curb
die,Treppe,Treppen,Stair/Stairway
das,Gemälde,Gemälde,Painting
das,Labor,Labore,Laboratory
der,Kehren,Kehren,Sweep
der,Helfer,Helfer,Aide
die,Serviette,Servietten,Napkin
das,Zentrum,Zentren,Center
die,Regierung,Regierungen,Government
das,Universum,Universen,Universe
der,Pool,Pools,Pool
der,Pass,Pässe,Pass
die,Bank,Banken,Bank/Bench
das,Gelübde,Gelübde,Vow
die,Güte,kein Pl.,Goodness
die,Suppe,Suppen,Soup
das,Lob,kein Pl.,Praise
das,Privileg,Privilegien,Privilege
das,Set,Sets,Kit
die,Presse,kein Pl.,Press
der,Moos,kein Pl.,Moss
der,Ausländer,Ausländer,Foreigner
das,Internet,kein Pl.,Internet
der,Taumel,Taumel,Stagger
der,Briefkasten,Briefkästen,Mailbox
der,Laser,Laser,Laser
der,Dämon,Dämonen,Demon
die,Perfektion,kein Pl.,Perfection
das,Lesen,kein Pl.,Reading
die,Beleidigung,Beleidigungen,Insult
das,Training,Trainings,Training
der,Strohhalm,Strohhalme,Straw
der,Kapitän,Kapitäne,Captain
das,Journal,Journale,Journal
das,Klavier,Klaviere,Piano
der,Til,Tils,Til
der,Luxus,Luxus,Luxury
der,Schrank,Schränke,Cabinet/Closet
der,Detektiv,Detektive,Detective
das,Fenster,Fenster,Window
das,Gute,kein Pl.,Good
die,Klinik,Kliniken,Clinic
die,Geldbörse,Geldbörsen,Purse
das,Reich,Reiche,Realm
der,Knäckebrot,Knäckebrote,Cracker
der,Fluss,Flüsse,Flow/River
die,Mütze,Mützen,Cap
die,Episode,Episoden,Episode
die,Wende,Wenden,Turn
die,Ziege,Ziegen,Goat
die,Parade,Paraden,Parade
das,Podium,Podien,Podium
die,Lagerung,Lagerungen,Storage
die,Limette,Limetten,Lime
die,Freundschaft,Freundschaften,Friendship
das,Feld,Felder,Field
die,Flocke,Flocken,Flake
das,Einkommen,Einkommen,Income
das,Dessert,Desserts,Dessert
der,Missbrauch,Missbräuche,Abuse
die,Fahrspur,Fahrspuren,Lane
die,Stunde,Stunden,Hour
die,Macht,kein Pl.,Power
das,Salz,kein Pl.,Salt
der,Samt,kein Pl.,Velvet
die,Band,Bands,Band/Ribbon
die,Toilette,Toiletten,Toilet
die,Rache,kein Pl.,Revenge
der,Busen,Busen,Bosom
der,Regenbogen,Regenbogen,Rainbow
der,Motor,Motoren,Engine/Motor
die,Flosse,Flossen,Fin
der,Plan,Pläne,Plan
der,Pfahl,Pfähle,Pole
die,Hülse,Hülsen,Pod
der,Müller,Müller,Miller
die,Chemikalie,Chemikalien,Chemical
die,Motorhaube,Motorhauben,Hood
der,Knöchel,Knöchel,Ankle
der,Donner,Donner,Thunder
der,Pastor,Pastoren,Pastor
das,Kind,Kinder,Child/Kid
der,Reiniger,Reiniger,Cleaner
die,Mischung,Mischungen,Mix/Mixture
der,Konflikt,Konflikte,Conflict
der,Trick,Tricks,Trick
der,Ton,Töne,Clay/Tone
die,Umlaufbahn,Umlaufbahnen,Orbit
die,Reservierung,Reservierungen,Reservation
die,Abteilung,Abteilungen,Department
die,Privatsphäre,kein Pl.,Privacy
die,Jacke,Jacken,Jacket
die,Streif,Streifen,Streak
die,Gabel,Gabeln,Fork
der,Psychiater,Psychiater,Psychiatrist
der,Ältere,Älteren,Elder
der,Passagier,Passagiere,Passenger
der,Herr,Herren,Gentleman/Lord
die,Insel,Inseln,Island
die,Periode,Perioden,Period
der,Himmel,Himmel,Heaven/Sky
der,Campus,Campi,Campus
die,Scheune,Scheunen,Barn
der,Zimmermann,Zimmerleute,Carpenter
die,Überreste,Überreste,Remains
der,Ausschuss,Ausschüsse,Committee
das,Murmeln,kein Pl.,Murmur
der,Türsteher,Türsteher,Porter
der,Pullover,Pullover,Sweater/Sweatshirt
das,Konzept,Konzepte,Concept
der,Vorort,Vororte,Suburb
der,Teil,Teile,Part
die,Ernte,Ernten,Crop
die,Referenz,Referenzen,Reference
das,Getreide,kein Pl.,Cereal
die,Lunge,Lungen,Lung
der,Zaunkönig,Zaunkönige,Wren
das,Studio,Studios,Studio
die,Pflaume,Pflaumen,Plum
der,Bademantel,Bademäntel,Bathrobe
die,Hardware,kein Pl.,Hardware
die,Mohnblume,Mohnblumen,Poppy
die,Aktie,Aktien,Share
die,Bibel,Bibeln,Bible
die,Pizza,Pizzen,Pizza
die,Ära,Ären,Era
das,Spray,Sprays,Spray
das,Jahrzehnt,Jahrzehnte,Decade
die,Diät,Diäten,Diet
die,Verwendung,Verwendungen,Use
der,Schwung,Schwünge,Swing
die,Nadel,Nadeln,Needle
der,Arm,Arme,Arm
das,Schloss,Schlösser,Castle/Lock
das,Hotel,Hotels,Hotel
die,Verachtung,kein Pl.,Contempt
die,Hüfte,Hüften,Hip
die,Scan,Scans,Scan
das,Boot,Boote,Boat
der,Speck,kein Pl.,Bacon
der,Wurm,Würmer,Worm
der,Mund,Münder,Mouth
das,Vakuum,Vakua,Vacuum
die,Sprache,Sprachen,Language
das,Kreuzfahrtschiff,Kreuzfahrtschiffe,Cruiser
der,Ruin,Ruinen,Ruin
die,Lippe,Lippen,Lip
die,Verzögerung,Verzögerungen,Delay
die,Methode,Methoden,Method
das,Verbrechen,Verbrechen,Crime
der,Hocker,Hocker,Stool
das,Spucken,Spucken,Spit
der,Regenschirm,Regenschirme,Umbrella
die,Melodie,Melodien,Melody/Tune
die,Kellnerin,Kellnerinnen,Waitress
die,Schleife,Schleifen,Loop
der,Pfeffer,kein Pl.,Pepper
die,Memme,Memmen,Sissy
die,Tonhöhe,Tonhöhen,Pitch
der,Rumpf,Rümpfe,Hull
der,Ärmel,Ärmel,Sleeve
der,Magen,Mägen,Stomach
der,Knochen,Knochen,Bone
der,Wal,Wale,Whale
der,Jeep,Jeeps,Jeep
das,Gerücht,Gerüchte,Rumor
das,Gewölbe,Gewölbe,Vault
die,Quelle,Quellen,Source
der,Mitarbeiter,Mitarbeiter,Associate/Employee
der,Schlaf,kein Pl.,Sleep
der,Sklave,Sklaven,Slave
der,Sekretär,Sekretäre,Secretary
die,Bewegung,Bewegungen,Motion/Movement
das,Mikrofon,Mikrofone,Microphone
die,Hündin,Hündinnen,Bitch
die,Wahl,Wahlen,Choice/Election
die,Steckdose,Steckdosen,Socket
die,Daten,Daten,Data
die,Stechpalme,Stechpalmen,Holly
das,Singen,kein Pl.,Singing
der,Hintergrund,Hintergründe,Background
der,Daumen,Daumen,Thumb
das,Steak,Steaks,Steak
der,Liebesakt,Liebesakte,Lovemaking
die,Bestellung,Bestellungen,Order
das,Labyrinth,Labyrinthe,Maze
die,Verwirrung,kein Pl.,Confusion
die,Pistole,Pistolen,Pistol
der,Affe,Affen,Ape/Monkey
der,Patient,Patienten,Patient
der,Starren,Starren,Stare
der,Respekt,kein Pl.,Respect
der,Oberkörper,Oberkörper,Torso
der,Humor,kein Pl.,Humor
der,Mord,Morde,Killing/Murder
die,Schachtel,Schachteln,Box
die,Anrufer,Anrufer,Caller
der,Beamte,Beamten,Officer/Official
der,Liebhaber,Liebhaber,Lover
die,Wäsche,kein Pl.,Laundry/Wash
das,Kichern,kein Pl.,Chuckle/Giggle
der,Kämpfer,Kämpfer,Fighter
das,Cockpit,Cockpits,Cockpit
die,Spinne,Spinnen,Spider
das,Spielzeug,Spielzeuge,Toy
das,Maß,Maße,Measure
der,Dank,Danksagungen,Thanks/Thanksgiving
der,Japaner,Japaner,Japanese
die,Seele,Seelen,Soul
der,Teig,Teige,Dough
der,Reiter,Reiter,Rider
die,Plage,Plagen,Plague
das,Gleichgewicht,kein Pl.,Balance
die,Ecke,Ecken,Corner
die,Tinte,kein Pl.,Ink
der,Butler,Diener,Butler
das,Halten,Halten,Hold
der,Roller,Roller,Roller
der,Fremde,Fremden,Stranger
der,Weg,Wege,Path/Way
das,Kleid,Kleider,Dress
der,Wettkampf,Wettkämpfe,Contest
der,Besitz,kein Pl.,Possession
der,Jäger,Jäger,Hunter
der,Film,Filme,Film/Movie
die,Vermietung,Vermietungen,Rental
die,DNA,kein Pl.,Dna
der,Streifen,Streifen,Streak/Stripe
das,Vorbeigehen,Vorbeigehen,Passing
die,Berührung,Berührungen,Touch
die,Sauce,Saucen,Sauce
das,Grundstück,Grundstücke,Lot
die,Begrüßung,Begrüßungen,Welcome
der,Tee,Tees,Tea
der,Schmerz,Schmerzen,Ache/Pain
der,Mann,Männer,Male/Man
die,Krise,Krisen,Crisis
der,Rabe,Raben,Raven
das,Stöhnen,Stöhne,Groan/Moan
der,Rucksack,Rucksäcke,Backpack
die,Nacktschnecke,Nacktschnecke,Slug
die,Pflicht,Pflichten,Duty
das,Gänseblümchen,Gänseblümchen,Daisy
der,Schrott,kein Pl.,Scrap
das,Schema,Schemata,Scheme
die,Zivilisation,Zivilisationen,Civilization
die,Freilassung,Freilassungen,Release
die,Laterne,Laternen,Lantern
der,Kühler,Kühler,Cooler
der,Klassenkamerad,Klassenkameraden,Classmate
der,Jugendliche,Jugendlichen,Teen
die,Lodge,Lodges,Lodge
der,Gefallen,Gefallen,Favor
der,Teich,Teiche,Pond
das,Ehrfurcht,kein Pl.,Awe
das,Elfenbein,kein Pl.,Ivory
die,Fabrik,Fabriken,Factory
die,Familie,Familien,Family
die,Aufgabe,Aufgaben,Assignment/Chore
